MutationType	variable	value	adjusted_count	type	tumor	region	rloop
total_Indel	DO23508	2	0.281099278080834	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO23509	2	0.281099278080834	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO23510	1	0.140549639040417	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO23512	3	0.421648917121251	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO23513	1	0.140549639040417	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO23514	0	0	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO23515	1	0.140549639040417	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO23516	2	0.281099278080834	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO23517	0	0	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO23518	4	0.562198556161668	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO23519	0	0	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO23520	1	0.140549639040417	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO23521	0	0	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO23522	0	0	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO23524	0	0	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO23525	0	0	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO23526	0	0	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO23527	1	0.140549639040417	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO23528	2	0.281099278080834	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO23529	1	0.140549639040417	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO23530	1	0.140549639040417	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO23532	1	0.140549639040417	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO23533	3	0.421648917121251	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO23534	0	0	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO23535	0	0	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO23536	2	0.281099278080834	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO23537	0	0	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO23538	0	0	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO23539	1	0.140549639040417	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO23540	1	0.140549639040417	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO23541	0	0	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO23542	0	0	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO23543	12	1.686595668485	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO23544	1	0.140549639040417	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO23545	1	0.140549639040417	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO23546	0	0	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO23547	0	0	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO23548	0	0	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO23549	0	0	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO23550	1	0.140549639040417	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO23551	1	0.140549639040417	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO23552	0	0	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO44740	2	0.281099278080834	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO44744	3	0.421648917121251	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO44806	0	0	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO44808	0	0	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO44828	0	0	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO44832	3	0.421648917121251	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO45029	1	0.140549639040417	rloop_tss	ICGC_Liver	tss	rloop
total_Indel	DO45035	0	0	rloop_tss	ICGC_Liver	tss	rloop
