MutationType	variable	value	adjusted_count	type	tumor	region	rloop
totalSNV	DO23508	30	4.21648917121251	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO23509	11	1.54604602944459	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO23510	8	1.12439711232334	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO23512	13	1.82714530752542	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO23513	17	2.38934386368709	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO23514	10	1.40549639040417	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO23515	5	0.702748195202085	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO23516	32	4.49758844929334	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO23517	14	1.96769494656584	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO23518	9	1.26494675136375	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO23519	9	1.26494675136375	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO23520	10	1.40549639040417	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO23521	9	1.26494675136375	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO23522	9	1.26494675136375	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO23524	2	0.281099278080834	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO23525	16	2.24879422464667	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO23526	6	0.843297834242502	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO23527	12	1.686595668485	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO23528	4	0.562198556161668	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO23529	3	0.421648917121251	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO23530	1	0.140549639040417	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO23532	3	0.421648917121251	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO23533	23	3.23264169792959	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO23534	9	1.26494675136375	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO23535	7	0.983847473282919	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO23536	21	2.95154241984876	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO23537	13	1.82714530752542	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO23538	7	0.983847473282919	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO23539	12	1.686595668485	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO23540	23	3.23264169792959	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO23541	16	2.24879422464667	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO23542	15	2.10824458560626	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO23543	39	5.48143592257626	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO23544	11	1.54604602944459	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO23545	13	1.82714530752542	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO23546	14	1.96769494656584	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO23547	1	0.140549639040417	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO23548	6	0.843297834242502	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO23549	8	1.12439711232334	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO23550	11	1.54604602944459	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO23551	27	3.79484025409126	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO23552	10	1.40549639040417	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO44740	11	1.54604602944459	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO44744	13	1.82714530752542	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO44806	18	2.52989350272751	rloop_tss	ICGC_Liver	tss	rloop
